agebin,month,PfPR,Pop,Year,Run_Number,Sample_ID
5,1,0.5098564208976,995.9666666667,2014,0,11.0
5,2,0.4778926933762,995.9,2014,0,11.0
5,3,0.4482596897926,995.0333333333,2014,0,11.0
5,4,0.4168485377564,992.7666666667,2014,0,11.0
5,5,0.3629346220969,993.2,2014,0,11.0
5,6,0.2994618444363,997.2333333333,2014,0,11.0
5,7,0.3041920578584,995.5333333333,2014,0,11.0
5,8,0.3162121465618,996.1666666667,2014,0,11.0
5,9,0.405512206557,995.3666666667,2014,0,11.0
5,10,0.5072231139647,996.8,2014,0,11.0
5,11,0.574756827222,997.2333333333,2014,0,11.0
5,12,0.5943746860874,995.5,2014,0,11.0
5,1,0.5526932084309,996.3333333333,2015,0,11.0
5,2,0.5105970448619,997.1333333333,2015,0,11.0
5,3,0.4637893684386,1000.166666667,2015,0,11.0
5,4,0.4275280149413,999.4666666667,2015,0,11.0
5,5,0.4016628823294,998.2666666667,2015,0,11.0
5,6,0.3499233282219,999.9333333333,2015,0,11.0
5,7,0.3127270303596,1000.233333333,2015,0,11.0
5,8,0.2915444118432,999.7333333333,2015,0,11.0
5,9,0.3975638244619,998.8333333333,2015,0,11.0
5,10,0.5330614428027,997.1333333333,2015,0,11.0
5,11,0.6027566413029,998.8,2015,0,11.0
5,12,0.626084345389,999.0666666667,2015,0,11.0
5,1,0.6078503424086,997.8333333333,2016,0,11.0
5,2,0.5675927466312,1001.833333333,2016,0,11.0
5,3,0.5294137252941,1000.1,2016,0,11.0
5,4,0.5251460036709,998.8333333333,2016,0,11.0
5,5,0.4566065415264,999.7666666667,2016,0,11.0
5,6,0.4302,1000,2016,0,11.0
5,7,0.3633931855418,996.9,2016,0,11.0
5,8,0.3901435310649,996.3,2016,0,11.0
5,9,0.4175115826227,992.8666666667,2016,0,11.0
5,10,0.5139795747531,995.5,2016,0,11.0
5,11,0.5302736335051,996.4666666667,2016,0,11.0
5,12,0.5285422867271,996.7666666667,2016,0,11.0
5,1,0.5021306579875,993.4333333333,2017,0,11.0
5,2,0.479883323275,994.2,2017,0,11.0
5,3,0.4694336330694,993.4666666667,2017,0,11.0
5,4,0.4171047784884,995.4333333333,2017,0,11.0
5,5,0.373341798376,997.5666666667,2017,0,11.0
5,6,0.3412263709839,998.0666666667,2017,0,11.0
5,7,0.3181378597392,999.5666666667,2017,0,11.0
