agebin,month,PfPR,Pop,Year,Run_Number,Sample_ID
5,1,0.511349936275,967.7,2014,0,1.0
5,2,0.478737335447,967.2666666667,2014,0,1.0
5,3,0.4007978814871,969.2333333333,2014,0,1.0
5,4,0.4071806864296,969.2666666667,2014,0,1.0
5,5,0.3689403836897,969.5333333333,2014,0,1.0
5,6,0.3392924804519,967.7,2014,0,1.0
5,7,0.3199765912768,968.3,2014,0,1.0
5,8,0.3595382454698,973.1,2014,0,1.0
5,9,0.4303317859093,976.5333333333,2014,0,1.0
5,10,0.5260244010799,975.3666666667,2014,0,1.0
5,11,0.5750042859592,972.1666666667,2014,0,1.0
5,12,0.5648465332968,973.0666666667,2014,0,1.0
5,1,0.5502526287041,976.4,2015,0,1.0
5,2,0.524522881182,974.6,2015,0,1.0
5,3,0.4968421775245,971.1333333333,2015,0,1.0
5,4,0.4605800583491,971.1666666667,2015,0,1.0
5,5,0.3922942206655,970.7,2015,0,1.0
5,6,0.3576599759822,971.5,2015,0,1.0
5,7,0.312990229806,968.9333333333,2015,0,1.0
5,8,0.3423286631237,965.9333333333,2015,0,1.0
5,9,0.3983170672828,966.5666666667,2015,0,1.0
5,10,0.5704918032787,965.8333333333,2015,0,1.0
5,11,0.629142955682,966.5,2015,0,1.0
5,12,0.6353310778154,965.5333333333,2015,0,1.0
5,1,0.6185286103542,966.4333333333,2016,0,1.0
5,2,0.5733760198286,968.3,2016,0,1.0
5,3,0.521942495529,969.2,2016,0,1.0
5,4,0.505721452871,970.0333333333,2016,0,1.0
5,5,0.4798833819242,971.8333333333,2016,0,1.0
5,6,0.4401106595171,975.9666666667,2016,0,1.0
5,7,0.3920398349306,977.3666666667,2016,0,1.0
5,8,0.3526626009335,978.3666666667,2016,0,1.0
5,9,0.4176424401734,976.4333333333,2016,0,1.0
5,10,0.4793063346559,974.5333333333,2016,0,1.0
5,11,0.5054035567715,974.6666666667,2016,0,1.0
5,12,0.537193474469,974.6333333333,2016,0,1.0
5,1,0.5500136462882,977.0666666667,2017,0,1.0
5,2,0.5354368433661,974.0333333333,2017,0,1.0
5,3,0.4830633284242,973.2333333333,2017,0,1.0
5,4,0.4137260918482,977.7,2017,0,1.0
5,5,0.3674625245879,982.8666666667,2017,0,1.0
5,6,0.3328692226712,981.5666666667,2017,0,1.0
5,7,0.3303386785097,983.2333333333,2017,0,1.0
5,8,0.3719962093008,984.8666666667,2017,0,1.0
5,9,0.4078533500186,985.5666666667,2017,0,1.0
5,10,0.4784488582624,986.8,2017,0,1.0
5,11,0.5120140983495,983.5666666667,2017,0,1.0
5,12,0.5291877741135,980.4333333333,2017,0,1.0
5,1,0.5388308195158,979.0333333333,2018,0,1.0
5,2,0.5147124006956,977.6333333333,2018,0,1.0
5,3,0.4785294920808,976.5333333333,2018,0,1.0
5,4,0.4299390181583,978.4333333333,2018,0,1.0
5,5,0.3615457885427,979.8666666667,2018,0,1.0
5,6,0.3014179562342,977.9333333333,2018,0,1.0
5,7,0.2555963802136,979.8,2018,0,1.0
5,8,0.2751477280446,981.5333333333,2018,0,1.0
5,9,0.3460661927276,979.9666666667,2018,0,1.0
5,10,0.4474948056814,978.6333333333,2018,0,1.0
5,11,0.5112712616982,975.9333333333,2018,0,1.0
5,12,0.5452828893161,970.9333333333,2018,0,1.0
5,1,0.5146517739816,1014.666666667,2014,0,2.0
5,2,0.4861124839379,1011.7,2014,0,2.0
5,3,0.4394228868832,1011.933333333,2014,0,2.0
5,4,0.3782690220073,1013.3,2014,0,2.0
5,5,0.3447562097516,1014.533333333,2014,0,2.0
5,6,0.3072807247899,1015.466666667,2014,0,2.0
5,7,0.2790104898533,1020.033333333,2014,0,2.0
5,8,0.3072930269,1021.066666667,2014,0,2.0
5,9,0.3912047640861,1018.733333333,2014,0,2.0
5,10,0.45891061544,1017.7,2014,0,2.0
5,11,0.5356033101102,1019.1,2014,0,2.0
5,12,0.5555555555556,1018.5,2014,0,2.0
5,1,0.5472117743254,1019.166666667,2015,0,2.0
5,2,0.5100976985116,1016.733333333,2015,0,2.0
5,3,0.4539514725679,1015.233333333,2015,0,2.0
5,4,0.445817178156,1014.466666667,2015,0,2.0
5,5,0.391535258827,1016.766666667,2015,0,2.0
5,6,0.3330175736591,1020.466666667,2015,0,2.0
5,7,0.3115218169394,1024.433333333,2015,0,2.0
5,8,0.3123394569989,1025.166666667,2015,0,2.0
5,9,0.3960586319218,1023.333333333,2015,0,2.0
5,10,0.530669960667,1025.433333333,2015,0,2.0
5,11,0.5799067538691,1029.533333333,2015,0,2.0
5,12,0.6061045574679,1034.2,2015,0,2.0
5,1,0.5794504181601,1032.3,2016,0,2.0
5,2,0.5627356818255,1034.233333333,2016,0,2.0
5,3,0.5058842495567,1033.833333333,2016,0,2.0
