,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,eir_score,shape_score,intensity_score,prevalence_score,param_set,round
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,4.0,,0.0,1.8777730908608468,2.196343083123283,0.09264680168685,5.0,1
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,5.0,,0.0,1.2581802419837556,1.8416227905700329,0.0694573435438499,6.0,1
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,6.0,,0.0,1.1116508108986167,1.8899397437725285,0.0579404993113999,7.0,1
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,7.0,,0.0,1.3129143923402944,1.952129362836498,0.0770225145705499,8.0,1
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,8.0,,0.0,1.6256658446612746,2.214486435771977,0.0734923261579999,9.0,1
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,9.0,,0.0,1.1783524899454167,1.8311416087623305,0.0736163909242,10.0,1
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,10.0,,0.0,1.2552213686286615,1.7027889410991812,0.08342186418385,11.0,1
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,11.0,,0.0,1.1154296688806706,1.51562388811692,0.16388832886565,12.0,1
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,12.0,,0.0,1.6262614985474448,1.9955787002479348,0.0801426629433999,13.0,1
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,13.0,,0.0,1.41853139732653,1.8919658397096752,0.0725908754178999,14.0,1
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,14.0,,0.0,1.5898901985913374,2.172979712839211,0.0658436712825499,15.0,1
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,15.0,,0.0,1.2110510688685614,1.7652004383636306,0.0939535309697,16.0,1
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,,,0.0,0.885854166059877,1.5535469476831445,0.08771195965,1.0,2
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1.0,,,0.0,1.1894635041079482,1.503446560696892,0.1349235657005,2.0,2
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,2.0,,,0.0,1.1103104886933208,1.6409128003976847,0.08972974710615,3.0,2
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,3.0,,,0.0,1.128676986499506,1.7174545969964163,0.0707032223299499,4.0,2
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,4.0,,,0.0,1.164268941806647,1.7096258062175538,0.06797474659545,5.0,2
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,5.0,,,0.0,1.242093419089249,1.4410327362919055,0.17659372995965,6.0,2
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,6.0,,,0.0,1.0651289936200492,1.4797416986237746,0.1385738520919,7.0,2
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,7.0,,,0.0,1.218760696621628,1.7399810616558675,0.0823947898480499,8.0,2
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,8.0,,,0.0,1.202506480447893,1.7439104976152917,0.0731629430830999,9.0,2
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,9.0,,,0.0,1.0744912093171348,1.7249030235333107,0.0625258974563499,10.0,2
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,,,0.0,1.1199538985557829,1.3782524096268471,0.19641880671525,11.0,2
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,11.0,,,0.0,1.153917279983276,1.6995271702080896,0.09547774877695,12.0,2
