agebin,month,PfPR,Pop,Year,Run_Number,Sample_ID
5,1,0.5134119645833,1020.233333333,2014,0,10.0
5,2,0.497623340436,1016.833333333,2014,0,10.0
5,3,0.4744335931078,1013.7,2014,0,10.0
5,4,0.4334619408841,1019.466666667,2014,0,10.0
5,5,0.3958565163317,1018.466666667,2014,0,10.0
5,6,0.3293789939374,1017.166666667,2014,0,10.0
5,7,0.320939334638,1022,2014,0,10.0
5,8,0.3900866280206,1023.533333333,2014,0,10.0
5,9,0.4167398017227,1025.5,2014,0,10.0
5,10,0.5045722809521,1027.933333333,2014,0,10.0
5,11,0.5729035181409,1029.9,2014,0,10.0
5,12,0.5885314143728,1032.966666667,2014,0,10.0
5,1,0.5520799742019,1033.666666667,2015,0,10.0
5,2,0.5535304572629,1031.5,2015,0,10.0
5,3,0.5268945887376,1030.566666667,2015,0,10.0
5,4,0.468032177818,1031.766666667,2015,0,10.0
5,5,0.4175625504439,1032.5,2015,0,10.0
5,6,0.3776969150512,1035.133333333,2015,0,10.0
5,7,0.341283106197,1037.066666667,2015,0,10.0
5,8,0.3293351720599,1039.366666667,2015,0,10.0
5,9,0.4468452895419,1041.3,2015,0,10.0
5,10,0.5839217816404,1043.233333333,2015,0,10.0
5,11,0.6435123256258,1046.6,2015,0,10.0
5,12,0.6343654434251,1046.4,2015,0,10.0
5,1,0.6232069262963,1043.366666667,2016,0,10.0
5,2,0.577035116361,1041.3,2016,0,10.0
5,3,0.5332073779941,1040.933333333,2016,0,10.0
5,4,0.5073842703828,1040.5,2016,0,10.0
5,5,0.4844602838246,1038.2,2016,0,10.0
5,6,0.442101535589,1035.433333333,2016,0,10.0
5,7,0.4073464381395,1032.7,2016,0,10.0
5,8,0.3759490808051,1031.7,2016,0,10.0
5,9,0.4688428257781,1032.4,2016,0,10.0
5,10,0.517647820737,1029.4,2016,0,10.0
5,11,0.5530775223997,1026.8,2016,0,10.0
5,12,0.5629564992567,1031.4,2016,0,10.0
5,1,0.5434754521964,1032,2017,0,10.0
5,2,0.5119573987413,1032.833333333,2017,0,10.0
5,3,0.4882774656074,1032.2,2017,0,10.0
5,4,0.436431779264,1031.7,2017,0,10.0
5,5,0.3856177450124,1030.9,2017,0,10.0
5,6,0.3561794838542,1028.133333333,2017,0,10.0
5,7,0.3392799221537,1027.666666667,2017,0,10.0
5,8,0.3631794007005,1027.866666667,2017,0,10.0
5,9,0.4219161170852,1026.033333333,2017,0,10.0
5,10,0.4991590659163,1030.6,2017,0,10.0
5,11,0.5238708016986,1036.133333333,2017,0,10.0
5,12,0.5409019317926,1037.033333333,2017,0,10.0
5,1,0.5558562040974,1034.8,2018,0,10.0
5,2,0.5178076004904,1033.266666667,2018,0,10.0
5,3,0.4564539463109,1036.833333333,2018,0,10.0
5,4,0.4180972244505,1038.833333333,2018,0,10.0
5,5,0.3536632390746,1037.333333333,2018,0,10.0
5,6,0.3321429720426,1036.1,2018,0,10.0
5,7,0.2993448519494,1037.933333333,2018,0,10.0
5,8,0.3155428608107,1038.633333333,2018,0,10.0
5,9,0.3232345876701,1040.833333333,2018,0,10.0
5,10,0.4123612399629,1041.966666667,2018,0,10.0
5,11,0.4823849975958,1039.833333333,2018,0,10.0
