agebin,month,PfPR,Pop,Year,Run_Number,Sample_ID
5,1,0.326475671364,1002.933333333,2014,0,1.0
5,2,0.3200359030617,1002.7,2014,0,1.0
5,3,0.2784797499501,1002.466666667,2014,0,1.0
5,4,0.2281081441033,1001.133333333,2014,0,1.0
5,5,0.1829353349497,1003.633333333,2014,0,1.0
5,6,0.153393604999,1002.866666667,2014,0,1.0
5,7,0.1432032390814,1004.4,2014,0,1.0
5,8,0.1709577754892,1003.366666667,2014,0,1.0
5,9,0.1934086440734,1000.3,2014,0,1.0
5,10,0.2568620240045,997.0333333333,2014,0,1.0
5,11,0.3356545028457,995.6666666667,2014,0,1.0
5,12,0.361917193828,995.9,2014,0,1.0
5,1,0.4271886931476,995.2666666667,2015,0,1.0
5,2,0.3945154044722,994.3,2015,0,1.0
5,3,0.3816691304932,992.1333333333,2015,0,1.0
5,4,0.3449922647474,991.1333333333,2015,0,1.0
5,5,0.2943059299191,989.3333333333,2015,0,1.0
5,6,0.2325817247558,986.0333333333,2015,0,1.0
5,7,0.1990524534687,985,2015,0,1.0
5,8,0.1812284613825,986.6,2015,0,1.0
5,9,0.2139980370258,984.9,2015,0,1.0
5,10,0.3077964266378,985.0666666667,2015,0,1.0
5,11,0.4027481639422,984.9,2015,0,1.0
5,12,0.4598522835073,983.8666666667,2015,0,1.0
5,1,0.4853878491999,983.2,2016,0,1.0
5,2,0.4650477545214,984.2,2016,0,1.0
5,3,0.4285424553813,986.1333333333,2016,0,1.0
5,4,0.3756870679481,988.5,2016,0,1.0
5,5,0.3213505061035,991.2333333333,2016,0,1.0
5,6,0.2852971775682,993.2333333333,2016,0,1.0
5,7,0.233012315023,993.3666666667,2016,0,1.0
5,8,0.206416932639,992.1666666667,2016,0,1.0
5,9,0.2139400457051,991.8666666667,2016,0,1.0
5,10,0.280407227616,988.8,2016,0,1.0
5,11,0.3572972972973,986.6666666667,2016,0,1.0
5,12,0.3941647790662,985.9666666667,2016,0,1.0
5,1,0.3849450030366,987.9333333333,2017,0,1.0
5,2,0.3742745309758,987.8666666667,2017,0,1.0
5,3,0.3292473480384,989.8333333333,2017,0,1.0
5,4,0.2954369422462,989.8333333333,2017,0,1.0
5,5,0.2451811092732,987.4333333333,2017,0,1.0
5,6,0.2166323395347,987.2333333333,2017,0,1.0
5,7,0.1742784810127,987.5,2017,0,1.0
5,8,0.1722171609812,987.9,2017,0,1.0
5,9,0.2173164556962,987.5,2017,0,1.0
5,10,0.2963940193492,985.4,2017,0,1.0
5,11,0.3533832041431,984.7666666667,2017,0,1.0
5,12,0.4168668177667,985.3666666667,2017,0,1.0
5,1,0.4176118089176,984.5666666667,2018,0,1.0
5,2,0.4039243594957,983.6,2018,0,1.0
5,3,0.3704381417099,983.7,2018,0,1.0
5,4,0.3378236588255,984.8333333333,2018,0,1.0
5,5,0.2654481570323,986.6333333333,2018,0,1.0
5,6,0.2184774525049,986.0666666667,2018,0,1.0
5,7,0.1670331901073,985.2333333333,2018,0,1.0
5,8,0.1597746896924,988.2666666667,2018,0,1.0
5,9,0.1678467165531,993.3666666667,2018,0,1.0
5,10,0.2314193721492,993.8666666667,2018,0,1.0
5,11,0.2979272873625,993.8666666667,2018,0,1.0
5,12,0.3906642969719,994.0333333333,2018,0,1.0
5,1,0.2052543507363,996,2014,0,5.0
5,2,0.2074985785478,996.6333333333,2014,0,5.0
5,3,0.191921902781,993.6333333333,2014,0,5.0
5,4,0.1606023005466,993.9666666667,2014,0,5.0
5,5,0.1308285810131,993.6666666667,2014,0,5.0
5,6,0.1198884446087,992.0333333333,2014,0,5.0
5,7,0.1051801121295,992.9,2014,0,5.0
5,8,0.1003587834893,994.1,2014,0,5.0
5,9,0.1282437636029,995.5,2014,0,5.0
5,10,0.1874581043035,994.5333333333,2014,0,5.0
5,11,0.2392508307321,993.1,2014,0,5.0
5,12,0.3297722233421,992.2,2014,0,5.0
5,1,0.3644837876806,994.1,2015,0,5.0
5,2,0.3510996032013,991.2666666667,2015,0,5.0
5,3,0.3249941075457,989.9666666667,2015,0,5.0
5,4,0.2663463476917,992.0666666667,2015,0,5.0
