agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,2.315500080585,157.6333333333,2015,0,3.0
100,1,0.8743402268738,821,2015,0,3.0
5,2,2.557867839932,156.9666666667,2015,0,3.0
100,2,0.8594162166119,821.1,2015,0,3.0
5,3,2.267566360533,155.6,2015,0,3.0
100,3,1.064312338829,823.0666666667,2015,0,3.0
5,4,2.315500080585,157.6333333333,2015,0,3.0
100,4,0.8556300774217,824.7333333333,2015,0,3.0
5,5,1.884276151657,154.9666666667,2015,0,3.0
100,5,0.6928793415427,825.3,2015,0,3.0
5,6,1.611834913492,150.9666666667,2015,0,3.0
100,6,0.6628329399973,826,2015,0,3.0
5,7,1.134043499827,150.2,2015,0,3.0
100,7,0.3837909866124,824.2333333333,2015,0,3.0
5,8,1.999780908227,152.1,2015,0,3.0
100,8,0.4718238711357,825.1666666667,2015,0,3.0
5,9,3.853324264288,148.4,2015,0,3.0
100,9,1.159942049533,828.6333333333,2015,0,3.0
5,10,4.105736687779,148.1666666667,2015,0,3.0
100,10,1.774763870984,829.5,2015,0,3.0
5,11,2.980943799019,146.9333333333,2015,0,3.0
100,11,1.653437535278,831.5,2015,0,3.0
5,12,3.208972111344,147.8666666667,2015,0,3.0
100,12,1.387610514648,832.9666666667,2015,0,3.0
5,1,3.136153444648,151.3,2016,0,3.0
100,1,1.21252749674,832.8333333333,2016,0,3.0
5,2,3.408992111683,153.4666666667,2016,0,3.0
100,2,1.12694974523,831.3,2016,0,3.0
5,3,2.754419893026,154.6,2016,0,3.0
100,3,0.8834207430482,826.3333333333,2016,0,3.0
5,4,2.507513999939,155.2666666667,2016,0,3.0
100,4,0.9589345799759,824.7,2016,0,3.0
5,5,2.655113354325,155.8,2016,0,3.0
100,5,0.7551111560315,821.7333333333,2016,0,3.0
5,6,2.953577488661,156.5333333333,2016,0,3.0
100,6,0.6802252475172,822.7666666667,2016,0,3.0
5,7,1.53200417757,158.8333333333,2016,0,3.0
100,7,0.8885462768376,821.5666666667,2016,0,3.0
5,8,1.059506580234,160.7666666667,2016,0,3.0
100,8,0.5343201085925,819.7333333333,2016,0,3.0
5,9,1.138253621757,160.3333333333,2016,0,3.0
100,9,1.0389980115,819.7,2016,0,3.0
5,10,1.733787752688,161.4,2016,0,3.0
100,10,1.410584985279,819.4,2016,0,3.0
5,11,2.207507774234,159.8333333333,2016,0,3.0
100,11,1.539334923029,822,2016,0,3.0
5,12,4.65211044997,159.5333333333,2016,0,3.0
100,12,0.9457107186317,823.3666666667,2016,0,3.0
5,1,2.755294650793,158.9666666667,2017,0,3.0
100,1,1.01581092272,826.4333333333,2017,0,3.0
5,2,2.408471696079,156.6,2017,0,3.0
100,2,0.9109205789864,828.1,2017,0,3.0
5,3,2.316969931126,157.5333333333,2017,0,3.0
100,3,1.130485497415,828.7,2017,0,3.0
5,4,2.648314252496,156.2,2017,0,3.0
100,4,0.8352738227695,830.2666666667,2017,0,3.0
5,5,2.18189573288,156.1333333333,2017,0,3.0
100,5,0.7325786631554,830.4,2017,0,3.0
5,6,2.24639224261,157.0666666667,2017,0,3.0
100,6,0.7896951232105,831.9666666667,2017,0,3.0
5,7,1.041255250573,151.9,2017,0,3.0
100,7,0.7844775896519,837.5,2017,0,3.0
5,8,0.477020278573,153.0333333333,2017,0,3.0
100,8,0.6828132327646,837.4666666667,2017,0,3.0
5,9,1.101055845618,154.7,2017,0,3.0
100,9,0.7971331197768,839.4666666667,2017,0,3.0
5,10,1.10438734293,154.2333333333,2017,0,3.0
100,10,1.112760840915,841.9,2017,0,3.0
5,11,1.958574727178,155.3,2017,0,3.0
100,11,1.387393087149,841.8666666667,2017,0,3.0
5,12,4.910314008594,156.1,2017,0,3.0
100,12,1.429956469685,842.3333333333,2017,0,3.0
5,1,3.33581302315,156.8333333333,2018,0,3.0
100,1,0.8234711894765,842.1666666667,2018,0,3.0
5,2,2.612631633878,158.3333333333,2018,0,3.0
100,2,0.9516473393887,843.8,2018,0,3.0
5,3,2.567763388157,161.1,2018,0,3.0
100,3,0.8397128116339,840.3666666667,2018,0,3.0
5,4,2.476356804371,162.1333333333,2018,0,3.0
100,4,1.056042187847,841.0333333333,2018,0,3.0
5,5,1.430191807449,161.6333333333,2018,0,3.0
100,5,0.5485899783671,842.7666666667,2018,0,3.0
5,6,1.738095313311,161,2018,0,3.0
100,6,0.6070085316896,841.8333333333,2018,0,3.0
5,7,1.282024733722,161.3333333333,2018,0,3.0
100,7,0.6093973573297,838.5333333333,2018,0,3.0
5,8,0.8345458209515,160.3666666667,2018,0,3.0
100,8,0.4808767111972,834.9333333333,2018,0,3.0
5,9,0.9006786346436,162.1,2018,0,3.0
100,9,0.8933156849816,830.8,2018,0,3.0
5,10,0.821567453444,162.9,2018,0,3.0
100,10,1.023350814357,832.2333333333,2018,0,3.0
5,11,1.524963378906,159.5666666667,2018,0,3.0
100,11,1.342662893236,833.6666666667,2018,0,3.0
5,12,5.318901725113,157.8333333333,2018,0,3.0
100,12,1.560826440342,834.0666666667,2018,0,3.0
5,1,1.920304007828,171.0666666667,2015,0,2.0
100,1,0.9678087830544,804.5666666667,2015,0,2.0
