agebin,month,PfPR,Pop,Year,Run_Number,Sample_ID
5,1,0.4981546167534,1011.533333333,2014,0,1.0
5,2,0.4559284559285,1010.1,2014,0,1.0
5,3,0.4313822587567,1009.7,2014,0,1.0
5,4,0.3818997657461,1010.3,2014,0,1.0
5,5,0.3321579224888,1011.466666667,2014,0,1.0
5,6,0.3071897581417,1010.233333333,2014,0,1.0
5,7,0.3081875206339,1009.666666667,2014,0,1.0
5,8,0.3500198780811,1006.133333333,2014,0,1.0
5,9,0.4277410568971,1003.566666667,2014,0,1.0
5,10,0.5292122501912,1002.433333333,2014,0,1.0
5,11,0.5923289311733,1002.033333333,2014,0,1.0
5,12,0.6170198631502,1003.533333333,2014,0,1.0
5,1,0.5640829875519,1004.166666667,2015,0,1.0
5,2,0.5325033200531,1004,2015,0,1.0
5,3,0.4899093495666,1007.533333333,2015,0,1.0
5,4,0.4357333685148,1010.633333333,2015,0,1.0
5,5,0.3922544495715,1011.333333333,2015,0,1.0
5,6,0.3449288755404,1009.966666667,2015,0,1.0
5,7,0.3167513360164,1010.466666667,2015,0,1.0
5,8,0.3393293286686,1009.933333333,2015,0,1.0
5,9,0.4247831556644,1006.866666667,2015,0,1.0
5,10,0.5713242372938,1004.1,2015,0,1.0
5,11,0.6272210966821,1003.633333333,2015,0,1.0
5,12,0.6367938676887,1000.166666667,2015,0,1.0
5,1,0.6270915272315,1000.066666667,2016,0,1.0
5,2,0.5949092607419,999.2,2016,0,1.0
5,3,0.5598743357508,997.3666666667,2016,0,1.0
5,4,0.5170093082435,995.5333333333,2016,0,1.0
5,5,0.4785352263955,993.1,2016,0,1.0
5,6,0.4506054811982,993.7,2016,0,1.0
5,7,0.3924491641821,995.0333333333,2016,0,1.0
5,8,0.3448217944842,992.3,2016,0,1.0
5,9,0.4141760904685,990.4,2016,0,1.0
5,10,0.4983171782445,990.4,2016,0,1.0
5,11,0.5395303458485,990.8,2016,0,1.0
5,12,0.549092131809,991.3333333333,2016,0,1.0
5,1,0.5206489675516,994.4,2017,0,1.0
5,2,0.5036897893466,993.7333333333,2017,0,1.0
5,3,0.4589627055207,997.4666666667,2017,0,1.0
5,4,0.4168220564731,1001.066666667,2017,0,1.0
5,5,0.3921145286654,1003.533333333,2017,0,1.0
5,6,0.3682165393557,1003.666666667,2017,0,1.0
5,7,0.3237138023684,1004.9,2017,0,1.0
5,8,0.3417285259809,1005.866666667,2017,0,1.0
5,9,0.4037805806601,1006.9,2017,0,1.0
5,10,0.4617623709976,1007.733333333,2017,0,1.0
5,11,0.5410725510305,1007.566666667,2017,0,1.0
5,12,0.5660968848997,1010.133333333,2017,0,1.0
5,1,0.5448378066853,1012.166666667,2018,0,1.0
5,2,0.514950166113,1013.366666667,2018,0,1.0
5,3,0.4487225857364,1013.766666667,2018,0,1.0
5,4,0.4132367467896,1012.333333333,2018,0,1.0
5,5,0.3739210647691,1011.8,2018,0,1.0
5,6,0.3380542075204,1009.7,2018,0,1.0
5,7,0.3082321008904,1007.033333333,2018,0,1.0
5,8,0.2964456935031,1008.166666667,2018,0,1.0
5,9,0.3594691202754,1007.133333333,2018,0,1.0
5,10,0.4322505800464,1005.666666667,2018,0,1.0
5,11,0.5018527095878,1007.533333333,2018,0,1.0
5,12,0.5432384989898,1006.433333333,2018,0,1.0
5,1,0.5051309038284,1013.466666667,2014,0,8.0
5,2,0.4623677183266,1011.1,2014,0,8.0
5,3,0.3889365634695,1009.933333333,2014,0,8.0
5,4,0.3808059770571,1008.3,2014,0,8.0
5,5,0.361858190709,1008.866666667,2014,0,8.0
5,6,0.3282090192327,1010.433333333,2014,0,8.0
5,7,0.2996373227827,1011,2014,0,8.0
5,8,0.3382751106122,1009.533333333,2014,0,8.0
5,9,0.3911413633225,1013.7,2014,0,8.0
5,10,0.5102255540212,1013.8,2014,0,8.0
5,11,0.5465587044534,1012.7,2014,0,8.0
5,12,0.5960576543372,1012.933333333,2014,0,8.0
5,1,0.5502987720796,1015.266666667,2015,0,8.0
5,2,0.5177211866632,1015.733333333,2015,0,8.0
5,3,0.4731306491372,1014.166666667,2015,0,8.0
5,4,0.451494131957,1013.966666667,2015,0,8.0
5,5,0.3972988920212,1016.866666667,2015,0,8.0
5,6,0.3496922472499,1018.133333333,2015,0,8.0
5,7,0.3268193849874,1020.033333333,2015,0,8.0
5,8,0.3285186758603,1020.033333333,2015,0,8.0
5,9,0.4211610793132,1019.166666667,2015,0,8.0
5,10,0.5356210003918,1020.933333333,2015,0,8.0
5,11,0.5951481602084,1023.666666667,2015,0,8.0
5,12,0.6103841283242,1026.566666667,2015,0,8.0
5,1,0.6183466562683,1025.8,2016,0,8.0
5,2,0.562701069119,1025.766666667,2016,0,8.0
5,3,0.5141955835962,1024.966666667,2016,0,8.0
5,4,0.4560557691055,1023.266666667,2016,0,8.0
5,5,0.4507193892532,1021.7,2016,0,8.0
5,6,0.4243134955536,1023.3,2016,0,8.0
5,7,0.3673682152864,1023.133333333,2016,0,8.0
5,8,0.3369948999608,1019.6,2016,0,8.0
5,9,0.3830587158363,1019.6,2016,0,8.0
5,10,0.4530496546331,1023.066666667,2016,0,8.0
5,11,0.4761718622756,1023.3,2016,0,8.0
5,12,0.5412117459179,1022.766666667,2016,0,8.0
5,1,0.5155806441087,1021.566666667,2017,0,8.0
5,2,0.4980090084209,1021.266666667,2017,0,8.0
