agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,2.253984130919,167.3333333333,2015,0,1.0
100,1,1.308504268527,836.8333333333,2015,0,1.0
5,2,2.926280811429,170.4666666667,2015,0,1.0
100,2,1.0071582729,833.5333333333,2015,0,1.0
5,3,2.962891370058,172.4666666667,2015,0,1.0
100,3,0.9470301819965,835.0666666667,2015,0,1.0
5,4,1.963119447231,173.5333333333,2015,0,1.0
100,4,0.74124954734,837.1,2015,0,1.0
5,5,1.807274863124,175.0333333333,2015,0,1.0
100,5,0.8437960967422,836.3,2015,0,1.0
5,6,1.4794440642,172.7,2015,0,1.0
100,6,0.6539135472849,837.2666666667,2015,0,1.0
5,7,1.194417648017,173.1666666667,2015,0,1.0
100,7,0.5957641480491,837.3,2015,0,1.0
5,8,1.961988955736,173.6333333333,2015,0,1.0
100,8,0.8146996796131,836.3,2015,0,1.0
5,9,3.384853005409,172.5333333333,2015,0,1.0
100,9,1.297842570581,834.3333333333,2015,0,1.0
5,10,4.482075825334,168.3,2015,0,1.0
100,10,1.892398530617,835.8,2015,0,1.0
5,11,4.055555522442,168,2015,0,1.0
100,11,1.71805813536,835.6333333333,2015,0,1.0
5,12,3.264227479696,164,2015,0,1.0
100,12,1.527805491351,836.1666666667,2015,0,1.0
5,1,3.270209640265,163.7,2016,0,1.0
100,1,1.498346053995,836.3666666667,2016,0,1.0
5,2,3.373518273234,165.9,2016,0,1.0
100,2,1.036641484126,833.3,2016,0,1.0
5,3,3.301507607102,165.8333333333,2016,0,1.0
100,3,1.141265099868,831.5333333333,2016,0,1.0
5,4,3.173913180828,161,2016,0,1.0
100,4,1.108004491776,834.5333333333,2016,0,1.0
5,5,1.982452392578,159.5666666667,2016,0,1.0
100,5,0.7298248354346,833.5333333333,2016,0,1.0
5,6,2.806525349617,160.4,2016,0,1.0
100,6,0.8468338884413,833.3,2016,0,1.0
5,7,1.504844427109,161.7,2016,0,1.0
100,7,0.671600015834,833.3333333333,2016,0,1.0
5,8,1.2222687006,159.2666666667,2016,0,1.0
100,8,0.4527629874647,833.0333333333,2016,0,1.0
5,9,2.594786815345,154.7333333333,2016,0,1.0
100,9,1.281212635338,835.6666666667,2016,0,1.0
5,10,2.151746727526,152.6666666667,2016,0,1.0
100,10,1.495901661925,837.7333333333,2016,0,1.0
5,11,2.578935861588,150.9666666667,2016,0,1.0
100,11,1.419726109132,839.8333333333,2016,0,1.0
5,12,5.236150994897,151.0333333333,2016,0,1.0
100,12,0.9845690317452,840.3,2016,0,1.0
5,1,3.558608591557,150.4333333333,2017,0,1.0
100,1,0.9658754235134,843.9666666667,2017,0,1.0
5,2,2.282268941402,149.2666666667,2017,0,1.0
100,2,1.152601242065,844.4666666667,2017,0,1.0
5,3,2.785044759512,152.9,2017,0,1.0
100,3,0.9507834166288,844.5666666667,2017,0,1.0
5,4,2.510748147964,155.0666666667,2017,0,1.0
100,4,0.8197399768978,846,2017,0,1.0
5,5,2.259338319302,156.1666666667,2017,0,1.0
100,5,0.7035521715879,847.3666666667,2017,0,1.0
5,6,2.035607039928,155.4,2017,0,1.0
100,6,0.573718957603,848.2666666667,2017,0,1.0
5,7,1.530719250441,158.9666666667,2017,0,1.0
100,7,0.7191267795861,845.9333333333,2017,0,1.0
5,8,1.209610581398,160.9333333333,2017,0,1.0
100,8,0.8783730566502,844.9333333333,2017,0,1.0
5,9,1.806558072567,161.6333333333,2017,0,1.0
100,9,1.324236962944,845.2666666667,2017,0,1.0
5,10,1.806558072567,161.6333333333,2017,0,1.0
100,10,1.437970250845,846.1,2017,0,1.0
5,11,2.672035247087,159.3666666667,2017,0,1.0
100,11,1.749980302528,848.2,2017,0,1.0
5,12,6.353087246418,160.8666666667,2017,0,1.0
100,12,1.360978106968,849.2666666667,2017,0,1.0
5,1,3.264227479696,164,2018,0,1.0
100,1,1.176262548193,848.1666666667,2018,0,1.0
5,2,2.729937471449,164.9,2018,0,1.0
100,2,1.061129899696,848.4666666667,2018,0,1.0
5,3,2.475069895387,167.1333333333,2018,0,1.0
100,3,0.7329028677195,846.6333333333,2018,0,1.0
5,4,2.235282421112,168.7333333333,2018,0,1.0
100,4,0.8941836562008,843.6,2018,0,1.0
5,5,2.571457438171,165.6,2018,0,1.0
100,5,0.7189001888037,846.2,2018,0,1.0
5,6,1.692199237645,165.3666666667,2018,0,1.0
100,6,0.6196210021153,844.3333333333,2018,0,1.0
5,7,1.921441629529,164.6333333333,2018,0,1.0
100,7,0.4188429983333,842.4,2018,0,1.0
5,8,1.388110525906,166.5333333333,2018,0,1.0
100,8,0.6649768222123,841.6333333333,2018,0,1.0
5,9,1.235809586942,167.3666666667,2018,0,1.0
100,9,1.24598101154,839.7666666667,2018,0,1.0
5,10,1.804072782397,168.6,2018,0,1.0
100,10,1.337209340185,837.0666666667,2018,0,1.0
5,11,2.419103205204,171,2018,0,1.0
100,11,1.512591682374,836.5333333333,2018,0,1.0
5,12,7.142857462168,170.3333333333,2018,0,1.0
100,12,1.309651918709,836.1,2018,0,1.0
5,1,2.287044908851,196.8333333333,2015,0,8.0
100,1,1.263593062758,818.4333333333,2015,0,8.0
5,2,2.693033516407,194.2666666667,2015,0,8.0
100,2,1.036763535812,821.4666666667,2015,0,8.0
5,3,1.770310044289,192.4333333333,2015,0,8.0
100,3,0.8439477626234,821.7333333333,2015,0,8.0
5,4,3.023817658424,193.1333333333,2015,0,8.0
100,4,0.978274108842,820.8333333333,2015,0,8.0
5,5,1.794371884316,196.6333333333,2015,0,8.0
100,5,0.5488275652751,820.2333333333,2015,0,8.0
5,6,1.594422072172,198.4,2015,0,8.0
100,6,0.4304245319217,819.7333333333,2015,0,8.0
5,7,1.271777037531,200.9,2015,0,8.0
100,7,0.6980955386534,819.1333333333,2015,0,8.0
5,8,1.82408798486,200.1,2015,0,8.0
100,8,0.6083828127012,819.9333333333,2015,0,8.0
5,9,3.426081210375,198.8666666667,2015,0,8.0
100,9,1.453533286229,820.3,2015,0,8.0
5,10,3.784280851483,199.3333333333,2015,0,8.0
100,10,1.48085039109,821.6,2015,0,8.0
5,11,3.238198839128,199.1333333333,2015,0,8.0
100,11,1.711675327271,824.5333333333,2015,0,8.0
5,12,3.787447653711,199.1666666667,2015,0,8.0
100,12,1.308718101121,827.4,2015,0,8.0
5,1,3.202294558287,197.5666666667,2016,0,8.0
100,1,1.351470969617,828.2333333333,2016,0,8.0
5,2,2.89438161999,197.5666666667,2016,0,8.0
100,2,1.234001431614,828.2,2016,0,8.0
5,3,1.987746715546,195.8666666667,2016,0,8.0
100,3,1.027218298987,829.1,2016,0,8.0
5,4,2.482127308846,191.1666666667,2016,0,8.0
100,4,0.8919200170785,832.1,2016,0,8.0
5,5,2.787226557732,192.0666666667,2016,0,8.0
100,5,0.923902108334,829.6333333333,2016,0,8.0
5,6,2.529452443123,192.4,2016,0,8.0
100,6,0.7907088473439,830.9,2016,0,8.0
5,7,1.349947191775,189.2666666667,2016,0,8.0
100,7,0.671170450747,833.8666666667,2016,0,8.0
5,8,1.192377492785,183.6666666667,2016,0,8.0
100,8,0.5967381894588,835.9333333333,2016,0,8.0
5,9,1.074517011642,181.1666666667,2016,0,8.0
100,9,1.291496024467,838.4333333333,2016,0,8.0
5,10,1.966010302305,179.4666666667,2016,0,8.0
100,10,1.283586216159,843.6,2016,0,8.0
5,11,1.692949980497,179.6666666667,2016,0,8.0
100,11,1.427752959542,843.6333333333,2016,0,8.0
5,12,4.11172683537,180.5,2016,0,8.0
100,12,1.328953653574,842.2666666667,2016,0,8.0
5,1,2.706711292267,179.8,2017,0,8.0
100,1,1.257474395446,841.7666666667,2017,0,8.0
5,2,2.53425899148,182.4333333333,2017,0,8.0
100,2,1.044307552278,838.8333333333,2017,0,8.0
5,3,2.731337815523,182.6333333333,2017,0,8.0
100,3,0.872336179018,836.8333333333,2017,0,8.0
5,4,1.865644335747,182.6,2017,0,8.0
100,4,0.8282245080918,837.3333333333,2017,0,8.0
5,5,1.460796862841,183.2333333333,2017,0,8.0
100,5,0.5971668073907,835.3333333333,2017,0,8.0
5,6,1.739050731063,181.9,2017,0,8.0
100,6,0.5688311811537,834.1666666667,2017,0,8.0
5,7,0.9384756684303,181.5,2017,0,8.0
100,7,0.6687378194183,836.9,2017,0,8.0
5,8,1.134991750121,182.2333333333,2017,0,8.0
100,8,0.6698049418628,835.5666666667,2017,0,8.0
5,9,1.476102873683,181.3333333333,2017,0,8.0
100,9,1.075795622543,836.9,2017,0,8.0
5,10,1.494787782431,179.0666666667,2017,0,8.0
100,10,1.548695363104,840.6,2017,0,8.0
5,11,1.803623691201,182.1333333333,2017,0,8.0
100,11,1.47387175262,842,2017,0,8.0
5,12,4.991902321577,185.2333333333,2017,0,8.0
100,12,1.517280964181,841.9666666667,2017,0,8.0
5,1,3.496294885874,184.4333333333,2018,0,8.0
100,1,1.115809096023,839.6,2018,0,8.0
5,2,2.234023496509,185.1666666667,2018,0,8.0
100,2,0.8699451573193,839.1333333333,2018,0,8.0
5,3,2.584422536194,183.6,2018,0,8.0
100,3,0.9540216363966,841.7,2018,0,8.0
5,4,2.68430493027,185.8333333333,2018,0,8.0
100,4,0.9545508697629,841.2333333333,2018,0,8.0
5,5,1.716093942523,184.3333333333,2018,0,8.0
100,5,0.6343814022839,843.8666666667,2018,0,8.0
5,6,1.251579158008,184.7,2018,0,8.0
100,6,0.460767686367,844.9666666667,2018,0,8.0
5,7,0.919395416975,185.2666666667,2018,0,8.0
100,7,0.4732995461673,848.3,2018,0,8.0
