agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,2.723880499601,192.0666666667,2015,0,8.0
100,1,1.213214416057,822.3333333333,2015,0,8.0
5,2,1.980917364359,190.4,2015,0,8.0
100,2,0.9762126803398,822.5666666667,2015,0,8.0
5,3,2.178339511156,189.9,2015,0,8.0
100,3,0.8301856294274,820.7,2015,0,8.0
5,4,1.656484514475,190.9666666667,2015,0,8.0
100,4,0.6667613703758,821.1333333333,2015,0,8.0
5,5,1.500770866871,194.5666666667,2015,0,8.0
100,5,0.4745652675629,820.4,2015,0,8.0
5,6,1.421676564962,196.8333333333,2015,0,8.0
100,6,0.6081355698407,820.2666666667,2015,0,8.0
5,7,1.11507126689,196.4,2015,0,8.0
100,7,0.3855686131865,820.4333333333,2015,0,8.0
5,8,1.554514467716,195.6666666667,2015,0,8.0
100,8,0.7538879066706,823.0666666667,2015,0,8.0
5,9,3.893668219447,193.7333333333,2015,0,8.0
100,9,1.517702143639,825.7,2015,0,8.0
5,10,4.546712815762,192.6666666667,2015,0,8.0
100,10,1.999919451773,827.3666666667,2015,0,8.0
5,11,3.438590481877,191.0666666667,2015,0,8.0
100,11,1.703891519457,828.3,2015,0,8.0
5,12,3.918514631689,189.4,2015,0,8.0
100,12,1.217204364948,829.6333333333,2015,0,8.0
5,1,3.271529071033,189.6666666667,2016,0,8.0
100,1,1.099927676842,829.6,2016,0,8.0
5,2,2.876074492931,186.1333333333,2016,0,8.0
100,2,0.9791399957612,832.5333333333,2016,0,8.0
5,3,2.665692865849,182.5666666667,2016,0,8.0
100,3,1.076867846772,836.0666666667,2016,0,8.0
5,4,2.486108705401,185.9666666667,2016,0,8.0
100,4,0.7726564928889,834.5666666667,2016,0,8.0
5,5,1.389090277255,183.9333333333,2016,0,8.0
100,5,0.7282812613994,835.3,2016,0,8.0
5,6,2.019814454019,186.7333333333,2016,0,8.0
100,6,0.6549826590344,835.9,2016,0,8.0
5,7,1.117615282536,185.0666666667,2016,0,8.0
