agebin,month,PfPR,Pop,Year,Run_Number,Sample_ID
5,1,0.5515811665495,948.6666666667,2014,0,1.0
5,2,0.4780015437513,950.0666666667,2014,0,1.0
5,3,0.4363356212355,951.8666666667,2014,0,1.0
5,4,0.4285013146363,950.8333333333,2014,0,1.0
5,5,0.386425719689,951.8,2014,0,1.0
5,6,0.3897967038735,952.6333333333,2014,0,1.0
5,7,0.3561552731982,952.3,2014,0,1.0
5,8,0.3666094149812,950.9666666667,2014,0,1.0
5,9,0.4142107105355,952.3333333333,2014,0,1.0
5,10,0.5034198771636,955.2,2014,0,1.0
5,11,0.6065305269027,956.5333333333,2014,0,1.0
5,12,0.612003058104,959.2,2014,0,1.0
5,1,0.5886115553084,958.8666666667,2015,0,1.0
5,2,0.5451282408698,956.5333333333,2015,0,1.0
5,3,0.4852025734655,958.5,2015,0,1.0
5,4,0.4523718770574,961.9666666667,2015,0,1.0
5,5,0.405352141894,964.1,2015,0,1.0
5,6,0.3893311278817,967.3,2015,0,1.0
5,7,0.3645621881989,968.8333333333,2015,0,1.0
5,8,0.3568630146402,969.9333333333,2015,0,1.0
5,9,0.4522647604646,969.9333333333,2015,0,1.0
5,10,0.5852972453775,971.7,2015,0,1.0
5,11,0.6224332911955,975.6333333333,2015,0,1.0
5,12,0.6346239278269,975.4333333333,2015,0,1.0
5,1,0.6038619275461,975.3333333333,2016,0,1.0
5,2,0.5755502063274,969.3333333333,2016,0,1.0
5,3,0.544643469906,971.4,2016,0,1.0
5,4,0.517447451573,970.5333333333,2016,0,1.0
5,5,0.4678477014454,970.9,2016,0,1.0
5,6,0.4768829743449,971.8666666667,2016,0,1.0
5,7,0.3968727497171,972.1,2016,0,1.0
5,8,0.3834787070292,974.5,2016,0,1.0
5,9,0.4494481536994,978.5333333333,2016,0,1.0
5,10,0.5102207686018,978.4,2016,0,1.0
5,11,0.5316792202038,978.0333333333,2016,0,1.0
5,12,0.5644213690395,975.8666666667,2016,0,1.0
5,1,0.5528060701347,975.2666666667,2017,0,1.0
5,2,0.5153678027457,976.0666666667,2017,0,1.0
5,3,0.4601987501281,976.1,2017,0,1.0
5,4,0.4439137554585,977.0666666667,2017,0,1.0
5,5,0.3815664126293,979.7333333333,2017,0,1.0
5,6,0.3572642599769,980.6,2017,0,1.0
5,7,0.3221086934383,981.9666666667,2017,0,1.0
5,8,0.3670774647887,984.5333333333,2017,0,1.0
5,9,0.430463128737,986.7666666667,2017,0,1.0
5,10,0.4785381656206,987.8,2017,0,1.0
5,11,0.5243362083545,985.5,2017,0,1.0
5,12,0.5492776232788,982.8666666667,2017,0,1.0
5,1,0.5145016339869,979.2,2018,0,1.0
5,2,0.4910605030591,980.6666666667,2018,0,1.0
5,3,0.4594438597087,981.7666666667,2018,0,1.0
